NGC 224,Andromeda Galaxy,2.5,https://cdn.spacetelescope.org/archives/images/wallpaper5/heic1112f.jpg
NGC 4038/NGC 4039,Antennae Galaxies,45,https://cdn.spacetelescope.org/archives/images/wallpaper5/potw1345a.jpg
NGC 4622,Backward Galaxy,200,https://cdn.spacetelescope.org/archives/images/wallpaper5/opo0203a.jpg
NGC 4826,Black Eye Galaxy,17.3,https://cdn.spacetelescope.org/archives/images/wallpaper5/potw2108a.jpg
NGC 3031,Bode's Galaxy,12,https://cdn.spacetelescope.org/archives/images/large/heic0401e.jpg
NGC 4567/NGC 4568,Butterfly Galaxies,59.4,https://noirlab.edu/public/media/archives/images/wallpaper5/noirlab2219a.jpg
NGC 3034,Cigar Galaxy,11.4,https://cdn.spacetelescope.org/archives/images/screen/heic0103f.jpg
NGC 4254,Coma Pinwheel Galaxy,45.2,https://noirlab.edu/public/media/archives/images/wallpaper5/noao-m99.jpg
NGC 6872,Condor Galaxy,212,https://cdn.spacetelescope.org/archives/images/wallpaper5/potw1437a.jpg
NGC 4151,Eye of Sauron,51.5,https://upload.wikimedia.org/wikipedia/commons/e/eb/NGC4151_Galaxy_from_the_Mount_Lemmon_SkyCenter_Schulman_Telescope_courtesy_Adam_Block.jpg
NGC 6946,Fireworks Galaxy,25.2,https://cdn.spacetelescope.org/archives/images/wallpaper5/potw2101a.jpg
NGC 7184,Little Sombrero Galaxy,40,https://upload.wikimedia.org/wikipedia/commons/b/b9/N7814s.jpg
NGC 4194,Medusa Merger,128.8,https://cdn.spacetelescope.org/archives/images/wallpaper5/potw1939a.jpg
NGC 4676,Mice Galaxies,290,https://cdn.spacetelescope.org/archives/images/wallpaper5/heic0206b.jpg
NGC 4565,Needle Galaxy,42.7,https://cdn.spacetelescope.org/archives/images/wallpaper5/potw1228a.jpg
NGC 5457,Pinwheel Galaxy,20.9,https://noirlab.edu/public/media/archives/images/wallpaper5/noao-m101ubviha.jpg
NGC 253,Sculptor Galaxy,11.4,https://cdn.spacetelescope.org/archives/images/publicationjpg/heic0819b.jpg
NGC 4594,Sombrero Galaxy,9.55,https://cdn.spacetelescope.org/archives/images/large/opo0328b.jpg
NGC 5236,Southern Pinwheel Galaxy,14.7,https://noirlab.edu/public/media/archives/images/large/noao-J1337-29_crop1.jpg
NGC 5055,Sunflower Galaxy,29.3,https://cdn.spacetelescope.org/archives/images/large/potw1536a.jpg
NGC 598,Triangulum Galaxy,3.2,https://noirlab.edu/public/media/archives/images/wallpaper5/noao-m33_opt.jpg
NGC 5194,Whirlpool Galaxy,31,https://cdn.spacetelescope.org/archives/images/wallpaper5/heic0506a.jpg